Sıra  | Oyuncu Adı                     | LP     | Main Şampiyon
128   | aizel#999WN                    | 845    | Draven
129   | foe#foe1                       | 843    | Draven
130   | Foreflay#9999                  | 843    | Thresh
131   | Siravia#diva                   | 843    | Vayne
132   | BeNTeK#YaTo                    | 836    | Sion
133   | Şeftali#プディング                  | 835    | Lulu
134   | i hate what i am#bloxa         | 834    | Hecarim
135   | qanaryq#TR1                    | 833    | Thresh
136   | Uira#222                       | 832    | Ahri
137   | Musthic#AKU                    | 830    | Ziggs
138   | JerryRaynor#3536               | 828    | Kayn
139   | KING#CRUEL                     | 828    | Diana
140   | renias#TR1                     | 825    | Jhin
141   | SOL BNB ADA BTC#rich           | 825    | Jarvan IV
142   | breakcore#clshr                | 825    | Naafiri
143   | yuıoy#TR1                      | 820    | Xerath
144   | CİHAT SARSILMAZ#11111          | 819    | Viego
145   | Loki#0651                      | 819    | Darius
146   | Kaharu#TR1                     | 817    | Kayn
147   | on my own#1111                 | 816    | Kai'Sa
148   | Kuddusi Baba#GAİLE             | 815    | Bard
149   | Sıeáth#TR1                     | 814    | Yasuo
150   | inside my heart#66666          | 814    | Qiyana
151   | Lady Arwen#Solvi               | 813    | Anivia
152   | Otenazy#TR068                  | 813    | Xerath
153   | Rüzgar#rüz                     | 813    | Yasuo
154   | PAIN TOLERANCE#1905            | 812    | Kai'Sa
155   | Sypnax#999                     | 811    | LeBlanc
156   | nerdaliisback#9108             | 810    | Lee Sin
157   | bluest flame#1204              | 810    | Lux
158   | Idk Complicated#jihun          | 809    | Aphelios
159   | ÇiftçiBob#lol                  | 806    | Brand
160   | Ohnakinong#TR1                 | 805    | Riven
161   | smolpaweum#smlpw               | 804    | Vi
162   | Jaime Lannister#NOBLE          | 803    | Viego
163   | tears#369                      | 803    | Qiyana
164   | Necrotyle#necro                | 803    | Illaoi
165   | deathcade#333                  | 802    | Tristana
166   | Atode#lord                     | 800    | Riven
167   | Hustrucha#001                  | 798    | Vayne
168   | antichrist#733                 | 798    | Bel'Veth
169   | dc gg rlp#Li123                | 797    | Talon
170   | Shape#epahs                    | 797    | Mordekaiser
171   | Bukroshee#神です                  | 795    | Soraka
172   | Yuisha#0229                    | 794    | Nami
173   | Mirzâ#Siel                     | 794    | Jhin
174   | ryangosling#night              | 793    | Ezreal
175   | hll#TR1                        | 792    | Orianna
176   | Madé#drkn                      | 791    | Janna
177   | Medwin#384                     | 791    | Kalista
178   | OGC Gloryiuz#3131              | 791    | Blitzcrank
179   | LXSING DREAMS#19323            | 789    | Master Yi
180   | Fifth Evangelist#JSB           | 789    | Miss Fortune
181   | kaneki#wh1te                   | 788    | Yasuo
182   | Kâim Bey#TR1                   | 788    | Anivia
183   | DH Duellant#TR1                | 787    | Renekton
184   | pablosky#qss                   | 787    | Karthus
185   | ЖЖЖЖЖЖЖЖЖЖЖЖЖЖЖЖ#888           | 787    | Ambessa
186   | ata jungle#nvl                 | 786    | Talon
187   | Rushh#TR1                      | 786    | Vayne
188   | paranoya#1006                  | 786    | Qiyana
189   | cain#1912                      | 786    | Zed
190   | JimiDede#TR1                   | 785    | Jayce
191   | okkDislslt#123                 | 784    | Qiyana
192   | god bless u#pump               | 782    | Riven
193   | Kind#HB1                       | 782    | Ekko
194   | zwenix즈웨#sae                   | 781    | Kai'Sa
195   | sonsahabe3169#teala            | 781    | Udyr
196   | Lexter#0001                    | 780    | Thresh
197   | Lion Media#88888               | 779    | Sylas
198   | NAMAZ KIL #TR1                 | 778    | Lee Sin
199   | uzak dur#lllll                 | 777    | Vayne
200   | Qyzo#MICO                      | 770    | Kai'Sa
201   | Ridd#B11F                      | 767    | Jinx
202   | Equinox#Asol                   | 765    | Aurelion Sol
203   | Kinetsu#Sooth                  | 764    | Riven
204   | edru#soe                       | 763    | Vladimir
205   | call me boss#TBMM              | 763    | Tryndamere
206   | good for you#404               | 762    | Yuumi
207   | Sakin#WOW                      | 760    | Kassadin
208   | çökelek holding#xDDDD          | 758    | Zed
209   | wrath#303                      | 757    | Mordekaiser
210   | issey miyake#3446              | 756    | Lucian
211   | Moon#711                       | 756    | Syndra
212   | Jardel#1283                    | 753    | Vladimir
213   | KZN Miraj#Birci                | 753    | Ornn
214   | Beloved Husky#TR1              | 750    | Gwen
215   | Dragut#p4u                     | 744    | Hwei
216   | SenTELLo Şamil#TR1             | 744    | Zac
217   | Dr Sabine#TR1                  | 738    | Vayne
218   | The Rheronis#TR1               | 735    | Shen
219   | Despair#1881                   | 733    | Diana
220   | Reqsa#Rank1                    | 731    | Kayn
221   | Whip#111                       | 725    | Evelynn
222   | Odoridase#123                  | 721    | Yasuo
223   | Majo莲花#血雨探花                    | 721    | Rumble
224   | Neo irfunny baby#TR3           | 719    | Taliyah
225   | IXIecutioner#Emre              | 717    | Ekko
226   | Sunny IV#TR1                   | 715    | Zoe
227   | ZAFER TÜRİZM#Hsthg             | 715    | Diana
228   | surf#3290                      | 714    | Tryndamere
229   | angelic#lure                   | 712    | Lux
230   | sunhaki#274x                   | 712    | Vladimir
231   | 自分を憎む#999                      | 708    | Yasuo
232   | İçinde Gezdiren#YUMOŞ          | 707    | Yuumi
233   | BestrafeMich#Recht             | 706    | Jinx
234   | debronee#888                   | 704    | Katarina
235   | Calámity#asf                   | 704    | Zed
236   | kid a mnesia#null              | 703    | Ahri
237   | Ryu#もう一つ                       | 702    | Fiora
238   | Lynn#7770                      | 697    | Viego
239   | hilal yelekci#9595             | 692    | Camille
240   | Scorth#2906                    | 691    | Kai'Sa
241   | KAJUN LORDU#CAJUN              | 690    | Rek'Sai
242   | MF ÁweShøck#sage               | 689    | Miss Fortune
243   | Emilia LeBlanc#argnt           | 683    | LeBlanc
244   | SuspectB#3162                  | 682    | Blitzcrank
245   | old but gold#007               | 680    | Caitlyn
246   | Sakin Kal Arda#12345           | 678    | Syndra
247   | AlwaysandForever#alwys         | 677    | Quinn
248   | iLLeqaLFaTaL1Ty#TR1            | 677    | Zed
249   | beauty in your#eyess           | 674    | Braum
250   | VEST#vest7                     | 673    | Nocturne
251   | 45 cm biceps#Lym               | 672    | Viego
252   | Luxtly#Kaisa                   | 672    | Kai'Sa
253   | valeria#baby                   | 669    | Lulu
254   | levila#tr2                     | 666    | Sett
255   | TrueAlpha Rengar#Alpha         | 664    | Rengar
256   | Fasulyesineee#1507             | 664    | Yasuo
257   | groza#221                      | 664    | Qiyana
258   | Schurrle#CAMLC                 | 660    | Karma
259   | tsuki akari#7778               | 658    | Syndra
260   | Alwaysboredlol#TR1             | 657    | Samira
261   | BİLLURLU OYUNCU#TR1            | 657    | Nami
262   | Katatonia#555                  | 656    | Aphelios
263   | Maggie Rhee#0602               | 655    | Lux
264   | yoruldum#4080                  | 654    | Sylas
265   | LEZBİYEN MURAT#TR1             | 651    | Hwei
266   | lost you#ash                   | 651    | Yasuo
267   | khaelth#ffs                    | 650    | Lulu
268   | kirmizi recete#361             | 649    | Irelia
269   | PSYCH0K1LL3R#333               | 648    | Xayah
